City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,katsuura,35.1333,140.3,25.51,94,100,3.15,JP,1693776444
1,laojunmiao,39.8333,97.7333,21.11,22,100,2.91,CN,1693776444
2,novodvinsk,64.4165,40.8122,13.56,85,93,2.18,RU,1693776444
3,jinshi,29.6049,111.8701,20.58,87,68,0.91,CN,1693776444
4,enewetak,11.3474,162.3373,28.7,74,87,3.37,MH,1693776445
5,kingston,17.997,-76.7936,31.25,74,20,4.63,JM,1693776445
6,manay,7.215,126.5397,25.84,87,96,3.96,PH,1693776445
7,waitangi,-43.9535,-176.5597,10.46,88,100,0.89,NZ,1693776445
8,port-aux-francais,-49.35,70.2167,1.21,65,97,6.37,TF,1693776445
9,fortuna,40.5982,-124.1573,22.18,74,100,6.17,US,1693776445
10,huanuni,-18.2667,-66.85,11.89,15,90,9.27,BO,1693776446
11,whitehorse,60.7161,-135.0538,12.83,46,40,4.12,CA,1693776387
12,port mathurin,-19.6833,63.4167,22.49,79,63,11.17,MU,1693776446
13,lae,-6.7221,146.9847,23.37,86,100,1.46,PG,1693776446
14,bethel,41.3712,-73.414,31.3,63,40,2.57,US,1693776359
15,alesund,62.4723,6.1549,16.53,94,75,8.75,NO,1693776446
16,punta arenas,-53.15,-70.9167,3.22,63,88,5.98,CL,1693776394
17,saint-denis,48.9167,2.3333,24.52,72,0,4.12,FR,1693776447
18,vilyuysk,63.7553,121.6247,5.11,68,87,1.33,RU,1693776447
19,harrison,30.4091,-89.0436,32.01,75,0,5.14,US,1693776447
20,adamstown,-25.066,-130.1015,17.23,82,100,4.49,PN,1693776447
21,bodo,67.28,14.405,12.02,91,100,2.57,NO,1693776447
22,punta del este,-34.9667,-54.95,13.06,95,100,5.66,UY,1693776448
23,obudu,6.6674,9.1716,23.12,95,92,1.57,NG,1693776448
24,bonito,-21.1211,-56.4819,35.6,28,94,5.01,BR,1693776448
25,jinchang,38.4953,102.1739,21.0,31,1,0.86,CN,1693776448
26,port moresby,-9.4431,147.1797,23.68,83,75,1.03,PG,1693776448
27,puerto natales,-51.7236,-72.4875,3.15,69,49,2.81,CL,1693776186
28,atafu village,-8.5421,-172.5159,27.99,77,87,6.32,TK,1693776449
29,bereznik,62.8551,42.7072,13.15,87,66,1.94,RU,1693776449
30,weno,7.4515,151.8468,28.97,84,75,1.54,FM,1693776449
31,santa rosalia,27.3167,-112.2833,32.18,46,0,2.86,MX,1693776449
32,ribeira grande,38.5167,-28.7,24.32,90,88,0.45,PT,1693776449
33,grytviken,-54.2811,-36.5092,-1.15,95,55,5.42,GS,1693776449
34,cockburn town,21.4612,-71.1419,29.98,66,40,2.57,TC,1693776450
35,tiksi,71.6872,128.8694,-0.07,96,100,2.86,RU,1693776450
36,pisco,-13.7,-76.2167,22.03,64,0,7.72,PE,1693776226
37,sao felix do xingu,-6.6447,-51.995,33.23,26,7,0.99,BR,1693776450
38,yellowknife,62.456,-114.3525,12.29,73,75,7.72,CA,1693776450
39,igarka,67.4667,86.5833,3.18,81,28,5.65,RU,1693776450
40,stanley,54.868,-1.6985,15.43,89,0,2.57,GB,1693776451
41,yerofey pavlovich,53.9667,121.9667,5.7,58,99,0.71,RU,1693776451
42,iqaluit,63.7506,-68.5145,4.85,100,100,8.23,CA,1693776451
43,nordborg,55.0573,9.7408,16.18,94,85,3.09,DK,1693776451
44,suwayr,30.1171,40.3893,31.52,15,0,6.27,SA,1693776451
45,la ronge,55.1001,-105.2842,16.14,72,100,0.0,CA,1693776413
46,severo-yeniseyskiy,60.3725,93.0408,7.47,91,91,1.6,RU,1693776452
47,ambovombe,-25.1667,46.0833,20.13,79,0,3.05,MG,1693776452
48,daru,-9.0763,143.2092,24.13,74,56,5.6,PG,1693776452
49,chifeng,42.2683,118.9636,16.76,89,42,2.0,CN,1693776452
50,bilibino,68.0546,166.4372,0.22,79,96,1.25,RU,1693776452
51,albany,42.6001,-73.9662,29.89,64,2,0.45,US,1693776183
52,arraial do cabo,-22.9661,-42.0278,22.98,83,20,8.75,BR,1693776200
53,key west,24.5557,-81.7826,32.0,64,75,6.69,US,1693776314
54,puerto ayora,-0.7393,-90.3518,31.98,91,44,4.47,EC,1693776453
55,at taj,24.2049,23.2857,28.85,22,0,4.44,LY,1693776453
56,polyarnyy,69.1989,33.4478,14.2,91,15,5.17,RU,1693776454
57,papatowai,-46.5619,169.4708,8.92,87,42,3.86,NZ,1693776454
58,tsiombe,-25.3,45.4833,20.12,78,0,2.77,MG,1693776454
59,port elizabeth,-33.918,25.5701,16.16,82,75,5.66,ZA,1693776454
60,georgetown,5.4112,100.3354,27.96,92,20,0.51,MY,1693776454
61,invercargill,-46.4,168.35,8.34,89,36,2.68,NZ,1693776454
62,mossel bay,-34.1831,22.146,11.96,77,18,2.87,ZA,1693776454
63,westport,41.1415,-73.3579,32.38,60,40,4.12,US,1693776424
64,utrik,11.2278,169.8474,28.41,77,64,3.49,MH,1693776455
65,tual,-5.6667,132.75,24.89,80,94,7.69,ID,1693776455
66,port alfred,-33.5906,26.891,16.99,84,61,1.32,ZA,1693776455
67,ventspils,57.3894,21.5606,10.96,100,0,0.51,LV,1693776455
68,tabou,4.423,-7.3528,25.34,82,100,5.08,CI,1693776455
69,mount pearl,47.5166,-52.7813,20.08,76,40,5.66,CA,1693776456
70,hastings,50.8552,0.5729,19.95,33,100,5.16,GB,1693776201
71,gobabis,-22.45,18.9667,18.83,16,3,3.28,NA,1693776457
72,orsa,54.5153,30.4053,14.02,64,26,0.34,BY,1693776457
73,mugia,43.1041,-9.2179,21.06,80,99,6.57,ES,1693776457
74,hawaiian paradise park,19.5933,-154.9731,28.28,74,40,1.54,US,1693776344
75,salaga,8.5508,-0.5188,23.37,95,99,2.0,GH,1693776458
76,vilyuchinsk,52.9306,158.4028,17.15,86,100,3.7,RU,1693776459
77,blackmans bay,-43.0167,147.3167,5.85,84,0,4.51,AU,1693776459
78,tura,25.5198,90.2201,24.37,92,100,1.83,IN,1693776459
79,nagqu,31.5,92.0,1.81,91,98,1.65,CN,1693776459
80,olonkinbyen,70.9221,-8.7187,6.12,87,68,4.63,SJ,1693776460
81,sittwe,20.15,92.9,26.51,89,100,3.82,MM,1693776206
82,belyy yar,53.6039,91.3903,12.94,94,0,0.0,RU,1693776460
83,ancud,-41.8697,-73.8203,6.77,72,98,2.71,CL,1693776460
84,kisangani,0.5167,25.2,25.34,77,86,0.94,CD,1693776460
85,camacupa,-12.0167,17.4833,20.77,14,98,1.6,AO,1693776461
86,ketchikan,55.3422,-131.6461,17.26,59,75,4.63,US,1693776461
87,rongelap,11.1635,166.8941,28.27,74,85,2.49,MH,1693776461
88,edinburgh of the seven seas,-37.0676,-12.3116,12.22,74,89,6.44,SH,1693776461
89,nadi,-17.8,177.4167,27.0,74,20,2.06,FJ,1693776461
90,chui,-33.6971,-53.4616,14.33,99,100,2.37,UY,1693776462
91,nhamunda,-2.1861,-56.7131,36.58,19,17,3.07,BR,1693776462
92,jutai,-5.1833,-68.9,29.37,63,100,1.29,BR,1693776462
93,bairnsdale,-37.8333,147.6167,6.14,85,0,2.41,AU,1693776462
94,kodiak,57.79,-152.4072,13.73,72,100,2.57,US,1693776462
95,longyearbyen,78.2186,15.6401,4.91,87,75,2.57,SJ,1693776251
96,lebu,-37.6167,-73.65,9.17,66,100,5.43,CL,1693776462
97,uturoa,-16.7333,-151.4333,24.87,83,97,7.72,PF,1693776463
98,cadale,2.7603,46.3222,25.14,84,1,9.4,SO,1693776463
99,aasiaat,68.7098,-52.8699,1.79,75,29,1.32,GL,1693776463
100,vadso,70.0744,29.7487,15.49,87,75,2.06,NO,1693776463
101,ji'an,27.1172,114.9793,23.31,76,100,2.4,CN,1693776463
102,afaahiti,-17.75,-149.2833,25.93,92,100,8.63,PF,1693776464
103,margaret river,-33.95,115.0667,13.5,76,87,8.68,AU,1693776464
104,fuling,29.7022,107.3919,23.09,83,0,1.19,CN,1693776464
105,qaqortoq,60.7167,-46.0333,6.36,58,46,3.59,GL,1693776464
106,rosarito,32.3333,-117.0333,28.29,74,62,5.65,MX,1693776464
107,college,64.8569,-147.8028,13.45,66,75,4.12,US,1693776464
108,chinde,26.8418,88.0763,19.31,82,84,2.48,NP,1693776465
109,ta`u,-14.2336,-169.5144,26.88,75,75,8.31,AS,1693776465
110,mala,-12.6581,-76.6308,20.81,74,9,4.19,PE,1693776465
111,yatou,37.15,122.3833,20.23,88,82,1.53,CN,1693776465
112,isafjordur,66.0755,-23.124,7.38,72,14,4.86,IS,1693776465
113,guarapari,-20.6667,-40.4975,23.27,83,91,8.05,BR,1693776465
114,saipan,15.1355,145.701,27.39,94,20,0.0,MP,1693776466
115,meulaboh,4.1363,96.1285,23.82,92,100,1.42,ID,1693776466
116,vera,-29.4593,-60.2126,13.21,91,100,5.45,AR,1693776466
117,howrah,22.5892,88.3103,28.0,94,75,1.54,IN,1693776466
118,igra,57.5558,53.0547,11.53,88,8,0.51,RU,1693776466
119,haiku-pauwela,20.9219,-156.3051,29.01,58,20,11.32,US,1693776466
120,fisterra,42.9049,-9.2629,20.97,78,100,7.09,ES,1693776467
121,livingston,55.9029,-3.5226,15.71,83,0,3.6,GB,1693776236
122,hamilton,39.1834,-84.5333,34.58,48,75,4.12,US,1693776208
123,novo cruzeiro,-17.4681,-41.8753,20.5,75,53,1.77,BR,1693776467
124,hermanus,-34.4187,19.2345,11.56,81,33,3.51,ZA,1693776467
125,bechar,31.6167,-2.2167,29.18,11,0,2.57,DZ,1693776467
126,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,77,75,3.0,RU,1693776467
127,camajuani,22.4833,-79.75,31.08,58,40,5.14,CU,1693776468
128,pierre,44.3683,-100.351,39.51,24,0,5.14,US,1693776468
129,coquimbo,-29.9533,-71.3436,17.85,51,20,4.63,CL,1693776380
130,pohang,36.0322,129.365,23.24,95,50,2.25,KR,1693776468
131,happy valley-goose bay,53.3168,-60.3315,23.17,56,40,8.23,CA,1693776468
132,carnarvon,-24.8667,113.6333,17.78,59,100,7.08,AU,1693776468
133,tanjung pandan,-2.75,107.65,22.85,79,4,3.64,ID,1693776469
134,prince george,53.9166,-122.753,20.69,27,0,6.17,CA,1693776179
135,komatipoort,-25.4332,31.9548,18.36,69,27,0.81,ZA,1693776469
136,ratnagiri,16.9833,73.3,26.39,85,100,4.62,IN,1693776469
137,griffith,41.5284,-87.4237,34.52,35,0,7.72,US,1693776174
138,avarua,-21.2078,-159.775,24.03,57,76,2.57,CK,1693776470
139,dombarovskiy,50.7587,59.5386,12.73,81,31,3.61,RU,1693776471
140,calingasta,-31.3308,-69.4078,17.88,11,0,4.23,AR,1693776471
141,karratha,-20.7377,116.8463,18.87,53,90,3.84,AU,1693776282
142,eyl,7.9803,49.8164,24.96,79,7,11.36,SO,1693776412
143,labytnangi,66.6572,66.4183,6.91,84,3,2.02,RU,1693776472
144,olinda,-8.0089,-34.8553,25.85,78,75,7.2,BR,1693776472
145,ushuaia,-54.8,-68.3,1.81,64,75,9.77,AR,1693776242
146,mawu,29.5923,107.3139,20.97,87,0,1.38,CN,1693776473
147,kotel'nikovo,47.6317,43.1461,24.8,29,100,8.43,RU,1693776473
148,tamanrasset,22.785,5.5228,28.95,24,40,1.03,DZ,1693776473
149,kaduy,59.2,37.15,14.54,91,100,0.61,RU,1693776473
150,brookings,44.3114,-96.7984,36.0,32,0,3.6,US,1693776416
151,boda,4.3189,17.4695,21.18,97,100,1.99,CF,1693776473
152,ilulissat,69.2167,-51.1,4.01,75,75,3.6,GL,1693776474
153,sisimiut,66.9395,-53.6735,4.21,64,97,2.1,GL,1693776474
154,hithadhoo,-0.6,73.0833,27.7,70,100,2.19,MV,1693776474
155,mount isa,-20.7333,139.5,9.87,81,2,1.54,AU,1693776474
156,sao joao da barra,-21.6403,-41.0511,24.05,82,36,8.89,BR,1693776474
157,turpan,42.9333,89.1667,31.55,21,88,0.83,CN,1693776474
158,al bawiti,28.3492,28.8659,27.17,33,0,3.18,EG,1693776475
159,antonio enes,-16.2325,39.9086,23.11,83,2,2.34,MZ,1693776475
160,nuestra senora del rosario de caa cati,-27.7507,-57.6207,26.0,82,100,2.76,AR,1693776475
161,goure,13.9835,10.2704,32.95,37,58,1.94,NE,1693776475
162,wailua homesteads,22.0669,-159.378,28.44,74,20,7.72,US,1693776475
163,saint john,45.2727,-66.0677,17.57,94,75,3.09,CA,1693776415
164,hasaki,35.7333,140.8333,26.28,92,100,3.65,JP,1693776475
165,batticaloa,7.7102,81.6924,25.33,82,100,2.12,LK,1693776476
166,bredasdorp,-34.5322,20.0403,8.18,90,2,2.28,ZA,1693776476
167,broome,42.2506,-75.833,31.68,68,0,2.57,US,1693776476
168,lompoc,34.6391,-120.4579,26.12,73,100,4.92,US,1693776476
169,tabuk,17.4189,121.4443,24.42,90,100,1.31,PH,1693776477
170,iskateley,67.6803,53.1512,14.89,91,100,3.47,RU,1693776477
171,talnakh,69.4865,88.3972,3.45,85,100,4.77,RU,1693776477
172,fuerte olimpo,-21.0415,-57.8738,38.38,25,96,5.55,PY,1693776477
173,thompson,55.7435,-97.8558,21.09,43,75,7.2,CA,1693776477
174,naze,28.3667,129.4833,24.51,83,19,2.26,JP,1693776477
175,warmbad,-28.45,18.7333,11.28,50,0,4.01,NA,1693776478
176,acapulco de juarez,16.8634,-99.8901,31.9,62,75,3.09,MX,1693776339
177,porto novo,6.4965,2.6036,24.9,89,89,2.19,BJ,1693776392
178,kavaratti,10.5669,72.642,27.11,80,100,9.24,IN,1693776478
179,touros,-5.1989,-35.4608,25.34,82,0,6.98,BR,1693776478
180,klyuchi,52.2667,79.1667,15.11,62,100,3.37,RU,1693776478
181,codrington,-38.2667,141.9667,16.98,34,100,9.04,AU,1693776479
182,saurimo,-9.6608,20.3916,23.05,42,70,1.27,AO,1693776479
183,lincoln city,44.9582,-124.0179,22.25,89,100,4.47,US,1693776248
184,nemuro,43.3236,145.575,17.69,91,97,1.12,JP,1693776479
185,anka,12.1138,5.9243,26.2,75,62,3.21,NG,1693776480
186,selfoss,63.9331,-20.9971,5.58,74,98,11.73,IS,1693776481
187,olyokminsk,60.3736,120.4264,3.78,78,6,1.08,RU,1693776481
188,adamovka,51.5223,59.9396,11.1,88,8,3.75,RU,1693776481
189,namibe,-15.1961,12.1522,17.65,88,64,3.04,AO,1693776481
190,sterling,39.0062,-77.4286,36.79,39,40,5.14,US,1693776472
191,general jose de san martin,-26.5374,-59.3416,22.88,81,100,5.09,AR,1693776482
192,gebeit,21.0667,36.3167,31.83,30,42,1.05,SD,1693776482
193,tolanaro,-25.0319,46.9987,22.04,78,20,7.2,MG,1693776482
194,ciudad melchor muzquiz,27.8833,-101.5167,34.97,22,0,3.67,MX,1693776441
195,jamestown,42.097,-79.2353,29.14,65,0,4.63,US,1693776211
196,kembe,4.6228,21.8865,21.13,97,82,1.09,CF,1693776483
197,jumla,29.2747,82.1838,14.84,91,1,1.87,NP,1693776483
198,souillac,-20.5167,57.5167,21.21,78,75,4.12,MU,1693776483
199,nassau,40.7507,-73.5829,33.24,56,20,3.6,US,1693776483
200,sa pa,22.3402,103.8441,16.93,87,99,1.03,VN,1693776484
201,pingliang,35.5392,106.6861,16.86,76,4,1.65,CN,1693776484
202,nova sintra,14.8667,-24.7167,24.16,82,91,2.9,CV,1693776484
203,gaiman,-43.2897,-65.4929,9.68,31,35,7.8,AR,1693776484
204,colonia,50.9333,6.95,18.87,75,0,3.09,DE,1693776484
